0x1FB1E0,0x04,1,0x02195F,0x15,1,0x0095ED,0xFD,1
0x002B2D,0x08,2,0x0860EC,0x54,1,0x042422,0xDF,1
0x06E3CC,0x20,2,0x1E26CC,0x57,1,0x160BD3,0xFB,2
0x0A8BFE,0x10,2,0x034817,0x45,2,0x0C0555,0xF7,3
0x14B49C,0x20,2,0x0EC96F,0x51,2,0x0C8557,0xF7,3
0x0A9283,0x01,3,0x1DD7F2,0x5D,2,0x192DCC,0xF7,4
0x0E8ACE,0x08,3,0x08A41B,0x54,3,0x039E5B,0xFE,5
0x04B891,0x10,4,0x10A05E,0x75,3,0x17BA73,0xFD,6
0x04D0EE,0x10,4,0x137C44,0x5D,3,0x153FDF,0xFD,7
0x089D55,0x40,4,0x001FD1,0xD5,4,0x036A07,0x7F,8
0x104F46,0x02,4,0x00FFD1,0x51,4,0x03AA05,0x7F,8
0x121355,0x10,4,0x048AB0,0x51,5,0x03AA07,0x7F,8
0x0176FE,0x40,5,0x0B2ADA,0x75,5,0x1DFF0B,0xEF,8
0x19889C,0x80,5,0x019B43,0x5D,6,0x07F038,0xEF,9
0x1E9A6D,0x10,5,0x019B45,0x5D,6,0x116CD4,0xFE,10
0x06539A,0x80,6,0x06EA4F,0x57,6,0x1586F2,0xBF,10
0x0B9713,0x08,6,0x17ADEA,0x5D,7,0x1F11C5,0xEF,10
0x1C9A61,0x02,7,0x040B76,0x15,8,0x013EB6,0xBF,11
0x11F58F,0x04,8,0x14F408,0x15,9,0x0202B1,0xDF,11
0x1EA577,0x20,9,0x166146,0x45,9,0x16908C,0xBF,12
0x06C318,0x08,10,0x105E67,0x57,10,0x03B641,0xFD,13
0x0D5624,0x08,10,0x109E67,0x57,10,0x07B5E6,0xDF,13
0x1F2EED,0x10,11,0x1B4CED,0x45,11,0x104E6C,0xFB,14
0x01E6ED,0x40,12,0x0F990F,0x51,12,0x104E6E,0xFB,14
0x145808,0x10,12,0x17698A,0x5D,12,0x108E6E,0xFB,14
0x0449B4,0x10,13,0x17B792,0x5D,12,0x17EDDD,0xEF,14
0x0489B4,0x10,13,0x0D99B1,0x54,13,0x1722BD,0xFD,15
0x058969,0x08,13,0x185C41,0x45,13,0x138F1B,0xDF,16
0x0CD3AB,0x80,13,0x189C43,0x45,13,0x190DA2,0xF7,16
0x1B2E8B,0x08,13,0x059A97,0x45,14,0x1F02D4,0x7F,16
0x0B5A49,0x10,14,0x1777BE,0x15,14,0x190CFA,0xF7,17
0x0B9A49,0x10,14,0x0225A3,0xD5,15,0x19ECFA,0xFB,17
0x048B75,0x40,15,0x045C78,0xD5,16,0x1C6FBD,0xFD,17
0x100B21,0x01,16,0x06A635,0xD5,16,0x0AECB5,0xFD,18
